date,ticker,close,source
2023-05-08,AAPL,171.0223846435547,sp500
2023-05-08,ABBV,132.41725158691406,sp500
2023-05-08,ACN,252.830810546875,sp500
2023-05-08,ACWI,87.5675048828125,fintual
2023-05-08,ADBE,344.05999755859375,sp500
2023-05-08,ADP,200.04501342773438,sp500
2023-05-08,AMD,95.04000091552734,sp500
2023-05-08,AMGN,213.57098388671875,sp500
2023-05-08,AMZN,105.83000183105469,sp500
2023-05-08,AON,325.6402282714844,sp500
2023-05-08,APD,273.5889587402344,sp500
2023-05-08,ARKK,37.50719451904297,fintual
2023-05-08,ARKW,48.57893753051758,fintual
2023-05-08,AVGO,60.4513053894043,sp500
2023-05-08,AXP,147.69992065429688,sp500
2023-05-08,BA,197.25999450683594,sp500
2023-05-08,BAC,25.615867614746094,sp500
2023-05-08,BKNG,103.64263153076172,sp500
2023-05-08,BLK,599.2709350585938,sp500
2023-05-08,BLV,65.00062561035156,fintual
2023-05-08,BND,65.79446411132812,fintual
2023-05-08,BR,145.0989227294922,sp500
2023-05-08,C,42.020774841308594,sp500
2023-05-08,CAT,205.2909393310547,sp500
2023-05-08,CB,192.75636291503906,sp500
2023-05-08,CLOU,16.84000015258789,fintual
2023-05-08,CMCSA,34.30237579345703,sp500
2023-05-08,CME,163.14962768554688,sp500
2023-05-08,CNRG,77.13770294189453,fintual
2023-05-08,COP,91.76551818847656,sp500
2023-05-08,COST,479.4676513671875,sp500
2023-05-08,CRM,195.0365447998047,sp500
2023-05-08,CSX,30.526493072509766,sp500
2023-05-08,CVX,140.5523223876953,sp500
2023-05-08,CXSE,31.053895950317383,fintual
2023-05-08,DE,364.7075500488281,sp500
2023-05-08,DHR,208.70216369628906,sp500
2023-05-08,DSI,75.41981506347656,fintual
2023-05-08,DUK,87.9830551147461,sp500
2023-05-08,EEM,36.598533630371094,fintual
2023-05-08,EFA,67.09557342529297,fintual
2023-05-08,EL,194.91085815429688,sp500
2023-05-08,EMB,72.73664093017578,fintual
2023-05-08,EMR,79.15668487548828,sp500
2023-05-08,EOG,102.89599609375,sp500
2023-05-08,EPP,39.479618072509766,fintual
2023-05-08,ESGU,87.59716033935547,fintual
2023-05-08,ESGV,69.81057739257812,fintual
2023-05-08,ESPO,50.535438537597656,fintual
2023-05-08,ETHO,48.782928466796875,fintual
2023-05-08,ETN,163.8488311767578,sp500
2023-05-08,EWJ,54.37137985229492,fintual
2023-05-08,EWY,57.29669952392578,fintual
2023-05-08,FCX,35.1208381652832,sp500
2023-05-08,FIS,51.79961395263672,sp500
2023-05-08,FLCH,17.35582733154297,fintual
2023-05-08,FLIN,28.303281784057617,fintual
2023-05-08,FLJP,23.090532302856445,fintual
2023-05-08,FLKR,18.853883743286133,fintual
2023-05-08,FTEC,112.25965118408203,fintual
2023-05-08,FTNT,66.08000183105469,sp500
2023-05-08,GE,79.28006744384766,sp500
2023-05-08,GILD,70.98966217041016,sp500
2023-05-08,GLD,187.69000244140625,fintual
2023-05-08,GOOGL,106.88658142089844,sp500
2023-05-08,GS,303.3861999511719,sp500
2023-05-08,HD,266.9332580566406,sp500
2023-05-08,HON,174.07745361328125,sp500
2023-05-08,HYG,62.41831970214844,fintual
2023-05-08,IAU,38.290000915527344,fintual
2023-05-08,IAUM,20.18000030517578,fintual
2023-05-08,ICE,103.2425765991211,sp500
2023-05-08,INTU,418.043212890625,sp500
2023-05-08,ISRG,303.0899963378906,sp500
2023-05-08,ITOT,87.34112548828125,fintual
2023-05-08,ITW,213.0543212890625,sp500
2023-05-08,IVV,397.9864807128906,fintual
2023-05-08,IWM,167.93548583984375,fintual
2023-05-08,JNJ,148.436767578125,sp500
2023-05-08,JNK,74.9441909790039,fintual
2023-05-08,JPM,128.0145721435547,sp500
2023-05-08,KLAC,373.1182861328125,sp500
2023-05-08,KOMP,39.2277946472168,fintual
2023-05-08,LIN,351.7365417480469,sp500
2023-05-08,LLY,423.2239685058594,sp500
2023-05-08,LMT,416.027587890625,sp500
2023-05-08,LOW,192.45068359375,sp500
2023-05-08,LQD,94.40593719482422,fintual
2023-05-08,LRCX,51.17692565917969,sp500
2023-05-08,MA,378.7812194824219,sp500
2023-05-08,MCD,276.85272216796875,sp500
2023-05-08,MCO,298.4961853027344,sp500
2023-05-08,MDLZ,71.83441162109375,sp500
2023-05-08,MDT,81.8152847290039,sp500
2023-05-08,META,231.45367431640625,sp500
2023-05-08,MMM,77.20909118652344,sp500
2023-05-08,MO,36.86682891845703,sp500
2023-05-08,MRK,107.98783111572266,sp500
2023-05-08,MSFT,301.5096740722656,sp500
2023-05-08,NEE,69.67913055419922,sp500
2023-05-08,NFLX,33.12099838256836,sp500
2023-05-08,NOC,420.7867736816406,sp500
2023-05-08,NSC,194.80776977539062,sp500
2023-05-08,NVDA,29.12521743774414,sp500
2023-05-08,ORCL,93.4297103881836,sp500
2023-05-08,OXY,55.998878479003906,sp500
2023-05-08,PEP,174.74627685546875,sp500
2023-05-08,PG,143.67323303222656,sp500
2023-05-08,PLD,115.7586898803711,sp500
2023-05-08,PNC,104.27259063720703,sp500
2023-05-08,QCOM,101.15108489990234,sp500
2023-05-08,QQQ,318.0484313964844,fintual
2023-05-08,QQQM,130.7018585205078,fintual
2023-05-08,REGN,747.072998046875,sp500
2023-05-08,ROP,449.57293701171875,sp500
2023-05-08,RTX,89.48957061767578,sp500
2023-05-08,SCHW,45.58340072631836,sp500
2023-05-08,SHW,224.87060546875,sp500
2023-05-08,SMH,123.38812255859375,fintual
2023-05-08,SO,67.02840423583984,sp500
2023-05-08,SOXQ,23.28750228881836,fintual
2023-05-08,SOXX,136.02099609375,fintual
2023-05-08,SPGI,346.5930480957031,sp500
2023-05-08,SPY,397.1821594238281,fintual
2023-05-08,SYK,280.00567626953125,sp500
2023-05-08,T,14.55126667022705,sp500
2023-05-08,TGT,140.46255493164062,sp500
2023-05-08,TJX,75.23771667480469,sp500
2023-05-08,TSLA,171.7899932861328,sp500
2023-05-08,TXN,150.4246368408203,sp500
2023-05-08,UNH,464.3982238769531,sp500
2023-05-08,USB,25.86200523376465,sp500
2023-05-08,V,227.0166015625,sp500
2023-05-08,VGT,47.49168395996094,fintual
2023-05-08,VNQ,73.08721923828125,fintual
2023-05-08,VOO,364.2063903808594,fintual
2023-05-08,VRTX,344.0899963378906,sp500
2023-05-08,VT,87.73345184326172,fintual
2023-05-08,VTI,196.8061981201172,fintual
2023-05-08,VTV,128.8475341796875,fintual
2023-05-08,VUG,41.4907341003418,fintual
2023-05-08,WM,161.43971252441406,sp500
2023-05-08,WMT,49.365234375,sp500
2023-05-08,XLF,30.849802017211914,fintual
2023-05-08,XLI,94.8115463256836,fintual
2023-05-08,XLK,74.0302963256836,fintual
2023-05-08,XLV,126.80359649658203,fintual
2023-05-08,XOM,98.51611328125,sp500
2023-05-08,XSD,177.3212890625,fintual
2023-05-08,ZTS,178.28915405273438,sp500
2023-05-09,AAPL,169.3170928955078,sp500
2023-05-09,ABBV,131.86044311523438,sp500
2023-05-09,ACN,251.5514678955078,sp500
2023-05-09,ACWI,87.19771575927734,fintual
2023-05-09,ADBE,342.6499938964844,sp500
2023-05-09,ADP,199.47552490234375,sp500
2023-05-09,AMD,95.05999755859375,sp500
2023-05-09,AMGN,213.39804077148438,sp500
2023-05-09,AMZN,106.62000274658203,sp500
2023-05-09,AON,327.980712890625,sp500
2023-05-09,APD,259.1125793457031,sp500
2023-05-09,ARKK,37.93363952636719,fintual
2023-05-09,ARKW,48.85467529296875,fintual
2023-05-09,AVGO,59.437477111816406,sp500
2023-05-09,AXP,148.02806091308594,sp500
2023-05-09,BA,201.8800048828125,sp500
2023-05-09,BAC,25.588111877441406,sp500
2023-05-09,BKNG,103.46356201171875,sp500
2023-05-09,BLK,592.2174072265625,sp500
2023-05-09,BLV,64.88761901855469,fintual
2023-05-09,BND,65.72279357910156,fintual
2023-05-09,BR,145.0894012451172,sp500
2023-05-09,C,42.165794372558594,sp500
2023-05-09,CAT,204.04844665527344,sp500
2023-05-09,CB,194.51345825195312,sp500
2023-05-09,CLOU,16.760000228881836,fintual
2023-05-09,CMCSA,33.48263931274414,sp500
2023-05-09,CME,162.21827697753906,sp500
2023-05-09,CNRG,76.96466064453125,fintual
2023-05-09,COP,92.3384780883789,sp500
2023-05-09,COST,481.1297302246094,sp500
2023-05-09,CRM,198.26907348632812,sp500
2023-05-09,CSX,30.660551071166992,sp500
2023-05-09,CVX,140.14715576171875,sp500
2023-05-09,CXSE,30.54279899597168,fintual
2023-05-09,DE,365.84893798828125,sp500
2023-05-09,DHR,205.14297485351562,sp500
2023-05-09,DSI,75.03269958496094,fintual
2023-05-09,DUK,87.22688293457031,sp500
2023-05-09,EEM,36.37565994262695,fintual
2023-05-09,EFA,66.82319641113281,fintual
2023-05-09,EL,190.4167938232422,sp500
2023-05-09,EMB,72.70243072509766,fintual
2023-05-09,EMR,79.00560760498047,sp500
2023-05-09,EOG,102.36514282226562,sp500
2023-05-09,EPP,39.11497116088867,fintual
2023-05-09,ESGU,87.24031066894531,fintual
2023-05-09,ESGV,69.49143981933594,fintual
2023-05-09,ESPO,50.10683822631836,fintual
2023-05-09,ETHO,48.48386764526367,fintual
2023-05-09,ETN,164.4950408935547,sp500
2023-05-09,EWJ,54.95719528198242,fintual
2023-05-09,EWY,56.76608657836914,fintual
2023-05-09,FCX,35.21690368652344,sp500
2023-05-09,FIS,51.512664794921875,sp500
2023-05-09,FLCH,17.098974227905273,fintual
2023-05-09,FLIN,28.21190071105957,fintual
2023-05-09,FLJP,23.310611724853516,fintual
2023-05-09,FLKR,18.675809860229492,fintual
2023-05-09,FTEC,111.40486907958984,fintual
2023-05-09,FTNT,66.4000015258789,sp500
2023-05-09,GE,79.3429183959961,sp500
2023-05-09,GILD,71.17935180664062,sp500
2023-05-09,GLD,189.02000427246094,fintual
2023-05-09,GOOGL,106.47002410888672,sp500
2023-05-09,GS,301.7693176269531,sp500
2023-05-09,HD,269.3900451660156,sp500
2023-05-09,HON,174.236572265625,sp500
2023-05-09,HYG,62.25921630859375,fintual
2023-05-09,IAU,38.54999923706055,fintual
2023-05-09,IAUM,20.309999465942383,fintual
2023-05-09,ICE,102.2700424194336,sp500
2023-05-09,INTU,418.81689453125,sp500
2023-05-09,ISRG,301.54998779296875,sp500
2023-05-09,ITOT,87.0141830444336,fintual
2023-05-09,ITW,212.70022583007812,sp500
2023-05-09,IVV,396.3638916015625,fintual
2023-05-09,IWM,167.43377685546875,fintual
2023-05-09,JNJ,147.28448486328125,sp500
2023-05-09,JNK,74.76396942138672,fintual
2023-05-09,JPM,127.39813232421875,sp500
2023-05-09,KLAC,365.55914306640625,sp500
2023-05-09,KOMP,39.189456939697266,fintual
2023-05-09,LIN,350.80352783203125,sp500
2023-05-09,LLY,418.97918701171875,sp500
2023-05-09,LMT,417.02386474609375,sp500
2023-05-09,LOW,195.34619140625,sp500
2023-05-09,LQD,94.37088775634766,fintual
2023-05-09,LRCX,50.10634231567383,sp500
2023-05-09,MA,376.2560119628906,sp500
2023-05-09,MCD,276.82476806640625,sp500
2023-05-09,MCO,298.48638916015625,sp500
2023-05-09,MDLZ,71.63208770751953,sp500
2023-05-09,MDT,81.28006744384766,sp500
2023-05-09,META,231.5528564453125,sp500
2023-05-09,MMM,76.04725646972656,sp500
2023-05-09,MO,36.73236846923828,sp500
2023-05-09,MRK,107.1212387084961,sp500
2023-05-09,MSFT,299.8977966308594,sp500
2023-05-09,NEE,69.23939514160156,sp500
2023-05-09,NFLX,33.2140007019043,sp500
2023-05-09,NOC,420.8533935546875,sp500
2023-05-09,NSC,195.95547485351562,sp500
