portfolio,navstart,navend,totalreturn,returnannual,volannual,sharpe,maxdrawdown,ndays
aggressive,9999.999999999998,18834.617764644532,0.8834617764644535,0.8882185349109422,0.2587641365019211,3.277960177857355,-0.15904217221886785,252
conservative,9999.999999999998,11938.755667984484,0.19387556679844864,0.1947187348141688,0.06634849735053712,2.3319101561071944,-0.04761290231535609,252
moderate,9999.999999999998,13051.361669513084,0.30513616695130863,0.30652163243952124,0.12265473089101109,2.172942131978161,-0.08344305843209321,252
