ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs,capmweight,portfolio
HYG,fintual,0.2645239994719547,0.08854417428494488,0.07921458189302534,0.05947118365845737,0.6593879502757913,498,0.16323667271995268,conservative
BND,fintual,0.06227668416093936,0.03247952719947523,0.049232259212511086,0.05984391443770816,0.15427231489211807,498,0.1632366727199526,conservative
JNK,fintual,0.2689173813675944,0.08622221221764166,0.079865882472473,0.06007388672188896,0.6636141699476086,498,0.16323667271995235,conservative
XLK,fintual,1.3895658014896144,0.22024299671972833,0.24599734627874145,0.24803345291105172,0.830522430990851,498,0.058570729604943944,conservative
MSFT,sp500,1.0320178382895295,0.20962384354617514,0.19299234895682293,0.23570275961727002,0.6490901897171216,498,0.04409435548490794,conservative
JPM,sp500,0.8794038538675643,0.3614947391344687,0.17036796099171295,0.23406501310684824,0.5569732924253883,498,0.03204046161973718,conservative
SPY,fintual,0.9999999999999998,0.18746960312170105,0.1882458376983028,0.16363441369025483,0.9059575816302234,498,0.030963916850865594,conservative
FLIN,fintual,0.419515229995058,0.16261498454035495,0.10219138669781355,0.14122143597624037,0.4403820586293774,498,0.027328110869647253,conservative
XOM,sp500,0.44353036124612033,0.045973757907505866,0.10575152994756198,0.22343948841374756,0.29426996281789053,498,0.026900620113164804,conservative
VUG,fintual,1.2159327262581927,0.24557393794583193,0.2202569655889269,0.2077382827341111,0.8677118305615429,498,0.02591245609913811,conservative
WMT,sp500,0.5503242044345518,0.3679865294714675,0.12158327269205219,0.207214611842772,0.3937138986798625,498,0.021492898208469717,conservative
CME,sp500,0.040548782925155145,0.27016107852190974,0.04601118829238626,0.1727870283536984,0.03478958084793982,498,0.020678462326010335,conservative
UNH,sp500,0.18272593234982287,-0.04020451280041487,0.0670883589104029,0.3069726337891168,0.08824356287411597,498,0.01924396703051776,conservative
GOOGL,sp500,1.1120437570070552,0.25854919504967605,0.2048558583146788,0.29515282347967914,0.5585440666673104,498,0.01898389760214938,conservative
ETN,sp500,1.4117790441604885,0.35289945823847263,0.2492903670464809,0.3253227263333899,0.6433315292950074,498,0.0183958758294502,conservative
JNJ,sp500,0.052519388142048935,0.02646468427868907,0.047785780690520356,0.1721901129752435,0.04521618899012947,498,0.01743854722718557,conservative
WM,sp500,0.3110170771719727,0.19596547107996407,0.08610698714383679,0.1779714260598415,0.25906960552383096,498,0.014788711967943742,conservative
CVX,sp500,0.5962519625383672,-0.00330767050777863,0.12839187166575733,0.22887686604805943,0.3861983659248325,498,0.013308123581024902,conservative
NVDA,sp500,2.1748284370202007,0.8416476863443386,0.36240926349615027,0.549251319011392,0.5869977045780443,498,0.013065508524188555,conservative
META,sp500,1.4432941468223348,0.5424290991377568,0.2539623498407343,0.3617473569112585,0.5914690066228242,498,0.012566695004332561,conservative
PEP,sp500,0.17670205243443968,-0.13879255463512172,0.06619534378615294,0.1805077706640478,0.14512031083086405,498,0.011617529636905684,conservative
ABBV,sp500,0.3363694638031401,0.21586093587465457,0.08986537293762545,0.23180432495824968,0.21511838895416083,498,0.011326475990740227,conservative
AVGO,sp500,2.0080238852656938,0.7416390787177591,0.33768118298941346,0.5161628902140373,0.5767194593667399,498,0.010693184689921238,conservative
AAPL,sp500,1.1567267673781652,0.12625582439361777,0.21147992861802598,0.26920447532376734,0.6369876593314066,498,0.010250208572317331,conservative
BKNG,sp500,1.0505847039509337,0.3884297976744562,0.19574480951022966,0.28034246595450885,0.5555519709793176,498,0.00986597885613464,conservative
IAUM,fintual,0.16199428402955648,0.24806432905925527,0.0640149783382984,0.1465834848663026,0.16383140542880553,498,0.00837618477117119,conservative
MO,sp500,0.14175366653204563,0.22486586031519207,0.06101439104184898,0.17911456463582245,0.11732374240238726,498,0.008373492159070888,conservative
PG,sp500,0.15278289995262043,0.05572707902257955,0.06264942898945221,0.1669516798604257,0.13566457677088062,498,0.008230722430370813,conservative
EMR,sp500,1.1386634239593418,0.18752517080034398,0.20880211314127037,0.27331283351394475,0.6176150273333502,498,0.007989102312109819,conservative
CB,sp500,0.29516782478896797,0.21750208554988273,0.08375740144742644,0.19320051743062236,0.22648697855138805,498,0.007793764477722961,conservative
