ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs,capmweight,portfolio
IVV,fintual,0.9721468614475774,0.18762918431512318,0.18411672584107205,0.1593664137951834,0.9043105282289269,498,0.15645538109600937,moderate
VTI,fintual,1.0038570975802794,0.18383662171338078,0.18881763636017546,0.16490794447199209,0.9024285448264173,498,0.15645538109600937,moderate
ESGU,fintual,0.9942477653701163,0.18217110874751058,0.18739309285695854,0.16316906285089489,0.9033151890542355,498,0.15645538109600937,moderate
VOO,fintual,0.9647392905815009,0.1873604431120084,0.183018584292721,0.15822300045762172,0.9039051457694164,498,0.15645538109600937,moderate
SPY,fintual,0.9999999999999998,0.18746960312170105,0.1882458376983028,0.16363441369025483,0.9059575816302234,498,0.15645538109600934,moderate
DSI,fintual,1.0223586844502284,0.17618791336159906,0.19156041960445896,0.17047610915733763,0.8890419915941371,498,0.049314923131153154,moderate
VUG,fintual,1.2159327262581927,0.24557393794583193,0.2202569655889269,0.2077382827341111,0.8677118305615429,498,0.02652133809127153,moderate
AAPL,sp500,1.1567267673781652,0.12625582439361777,0.21147992861802598,0.26920447532376734,0.6369876593314066,498,0.01652052652233612,moderate
HYG,fintual,0.2645239994719547,0.08854417428494488,0.07921458189302534,0.05947118365845737,0.6593879502757913,498,0.014376093596490572,moderate
XLK,fintual,1.3895658014896144,0.22024299671972833,0.24599734627874145,0.24803345291105172,0.830522430990851,498,0.013579273220305204,moderate
LIN,sp500,0.6060844860249078,0.13911310621303807,0.12984950234670778,0.17711198998208844,0.5073033302589756,498,0.007624607842940061,moderate
WMT,sp500,0.5503242044345518,0.3679865294714675,0.12158327269205219,0.207214611842772,0.3937138986798625,498,0.00729315685212473,moderate
COP,sp500,0.7490462105629909,0.019731447382572688,0.1510429829596499,0.2775884491314814,0.40002739057435976,498,0.006946703425242703,moderate
META,sp500,1.4432941468223348,0.5424290991377568,0.2539623498407343,0.3617473569112585,0.5914690066228242,498,0.006570577872579986,moderate
V,sp500,0.7151017695917442,0.22900207501386435,0.14601086087266685,0.18492309184189648,0.5732700000673947,498,0.005822166597659203,moderate
CVX,sp500,0.5962519625383672,-0.00330767050777863,0.12839187166575733,0.22887686604805943,0.3861983659248325,498,0.005731630333236876,moderate
AXP,sp500,1.2168445166162791,0.3501352449063276,0.22039213471436667,0.27393560631213676,0.6585202162760043,498,0.005024694277949121,moderate
MRK,sp500,0.27292575032214866,-0.12523628804162426,0.08046010648594477,0.22169826501416762,0.18250078088504287,498,0.004933905007432277,moderate
AMZN,sp500,1.3675327873678682,0.34515448972167084,0.24273104364324466,0.3136024541560295,0.646458728101592,498,0.004866963535687184,moderate
MSFT,sp500,1.0320178382895295,0.20962384354617514,0.19299234895682293,0.23570275961727002,0.6490901897171216,498,0.004770625946409111,moderate
AVGO,sp500,2.0080238852656938,0.7416390787177591,0.33768118298941346,0.5161628902140373,0.5767194593667399,498,0.004417287494641315,moderate
JPM,sp500,0.8794038538675643,0.3614947391344687,0.17036796099171295,0.23406501310684824,0.5569732924253883,498,0.004158720256343632,moderate
DHR,sp500,0.8121279433789544,0.005583987465089112,0.16039458728441294,0.2570256609834453,0.46841465876890553,498,0.003961590216415527,moderate
NVDA,sp500,2.1748284370202007,0.8416476863443386,0.36240926349615027,0.549251319011392,0.5869977045780443,498,0.003927506235694925,moderate
OXY,sp500,0.814818484163965,-0.1335238495452927,0.1607934487569483,0.28160456678632634,0.4289470520149731,498,0.0037148940274710656,moderate
PEP,sp500,0.17670205243443968,-0.13879255463512172,0.06619534378615294,0.1805077706640478,0.14512031083086405,498,0.003709952927368654,moderate
NEE,sp500,0.3997367205110094,0.006008177225554248,0.09925930499092694,0.2821076745365351,0.2100591736409936,498,0.0036436514180934027,moderate
GOOGL,sp500,1.1120437570070552,0.25854919504967605,0.2048558583146788,0.29515282347967914,0.5585440666673104,498,0.0036017141547210444,moderate
ISRG,sp500,1.2489955238984007,0.32875088151656956,0.22515838772174904,0.30672523367115784,0.6036620642703905,498,0.0035358430571013474,moderate
MDT,sp500,0.4134875091004594,0.02284678610478351,0.10129780216438222,0.20095785217600937,0.3050281514289594,498,0.003154748479284317,moderate
