ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs,capmweight,portfolio
TSLA,sp500,2.2644789865788484,0.45236949562190426,0.3756995843155852,0.6258228235152049,0.5364131375554236,498,0.058211032118128406,aggressive
NVDA,sp500,2.1748284370202007,0.8416476863443386,0.36240926349615027,0.549251319011392,0.5869977045780443,498,0.054915634269750886,aggressive
AMD,sp500,2.07167052210531,0.14509154483440984,0.3471165319843821,0.5043091893384574,0.6089846040427132,498,0.051123723338220954,aggressive
AVGO,sp500,2.0080238852656938,0.7416390787177591,0.33768118298941346,0.5161628902140373,0.5767194593667399,498,0.048784183919977006,aggressive
XSD,fintual,1.9805968295405392,0.14497709954849092,0.3336152361378399,0.38927976025573857,0.7542525096731164,498,0.04777601422932038,aggressive
ARKK,fintual,1.9343964037021224,0.24572575560736698,0.32676621530740546,0.40470306011232265,0.708584252433909,498,0.046077766096242596,aggressive
SOXQ,fintual,1.9017367449589309,0.2682220174656483,0.32192455683808036,0.3760589902919033,0.7496817364191873,498,0.044877253333538675,aggressive
LRCX,sp500,1.8901631006427975,0.28275206491561355,0.32020881224121295,0.4392752882009995,0.6378888586899012,498,0.04445182387007285,aggressive
SOXX,fintual,1.8694251395283936,0.23350012356567035,0.31713449582365333,0.36880539926709816,0.7514382825587257,498,0.04368953526873257,aggressive
SMH,fintual,1.8245073787857422,0.3552259871928373,0.31047562475482704,0.3651602195886374,0.7407039711486781,498,0.04203843664957956,aggressive
KLAC,sp500,1.814367442802176,0.4015260537270196,0.3089724214507361,0.4194444440082277,0.6412587537944835,498,0.041665705752365986,aggressive
ARKW,fintual,1.7325779858126185,0.4472432561235694,0.2968474748844298,0.3624676294561599,0.7086080356190684,498,0.038659267984207504,aggressive
QCOM,sp500,1.6021958575954982,0.22457538583871742,0.2775188670659953,0.38057295542146213,0.6241086332657484,498,0.033866642083518306,aggressive
FCX,sp500,1.5171940500396013,0.10888786970515033,0.26491770289900146,0.40122242902944194,0.5605810807812464,498,0.030742124379421858,aggressive
META,sp500,1.4432941468223348,0.5424290991377568,0.2539623498407343,0.3617473569112585,0.5914690066228242,498,0.02802569228917982,aggressive
ETN,sp500,1.4117790441604885,0.35289945823847263,0.2492903670464809,0.3253227263333899,0.6433315292950074,498,0.02686725120908693,aggressive
FTEC,fintual,1.4107932535138976,0.23475758210048864,0.24914422768628186,0.24942775579586773,0.8384962091285703,498,0.02683101429584609,aggressive
ORCL,sp500,1.4055181873215192,0.30871997309606847,0.24836222107967873,0.3781068409487487,0.5510670490828851,498,0.026637113141931273,aggressive
VGT,fintual,1.401746801022404,0.23142890127197752,0.24780312875848248,0.24764503412040162,0.8391168815339598,498,0.026498483347656192,aggressive
XLK,fintual,1.3895658014896144,0.22024299671972833,0.24599734627874145,0.24803345291105172,0.830522430990851,498,0.026050730933903806,aggressive
AMZN,sp500,1.3675327873678682,0.34515448972167084,0.24273104364324466,0.3136024541560295,0.646458728101592,498,0.02524083479260136,aggressive
TXN,sp500,1.3613436365572134,0.08128562269852463,0.241813527796678,0.3175376229413068,0.6355578464287394,498,0.025013332835915194,aggressive
CLOU,fintual,1.2617742918148664,0.16742736476591244,0.2270527868762777,0.25504595029191146,0.7334081825733262,498,0.02135333480834227,aggressive
ISRG,sp500,1.2489955238984007,0.32875088151656956,0.22515838772174904,0.30672523367115784,0.6036620642703905,498,0.020883608442828168,aggressive
GS,sp500,1.2418286972508383,0.34572987871249455,0.22409593550174262,0.28530512485357606,0.64525982698777,498,0.020620167051443473,aggressive
QQQ,fintual,1.2349868217413993,0.23747873316371107,0.22308165593541832,0.21223657215564795,0.8626301022292788,498,0.020368675070687615,aggressive
QQQM,fintual,1.2244561972191343,0.23778734749720018,0.22152053468162888,0.21059157351723662,0.8619553558099592,498,0.019981586995382942,aggressive
AXP,sp500,1.2168445166162791,0.3501352449063276,0.22039213471436667,0.27393560631213676,0.6585202162760043,498,0.01970179438082658,aggressive
VUG,fintual,1.2159327262581927,0.24557393794583193,0.2202569655889269,0.2077382827341111,0.8677118305615429,498,0.019668279002467978,aggressive
EL,sp500,1.2080618503713152,-0.4967780968985578,0.2190901409996574,0.46488809636385037,0.38523279559193163,498,0.019378958108822675,aggressive
