date,portfolio,nav,dailyreturn
2025-05-05,aggressive,9999.999999999998,
2025-05-06,aggressive,9897.955109899794,-0.010204489010020357
2025-05-07,aggressive,10037.342226976361,0.014082415562498785
2025-05-08,aggressive,10185.30199162605,0.014740930547533893
2025-05-09,aggressive,10250.597145541522,0.006410723409983943
2025-05-12,aggressive,10873.277916551697,0.060745804577932105
2025-05-13,aggressive,11204.998762967392,0.030507897338919232
2025-05-14,aggressive,11316.947314104107,0.009990947210695378
2025-05-15,aggressive,11235.656374049635,-0.00718311553444817
2025-05-16,aggressive,11279.236511193158,0.003878735313067816
2025-05-19,aggressive,11229.846808916536,-0.00437881608632007
2025-05-20,aggressive,11211.560147107431,-0.00162839815362259
2025-05-21,aggressive,11001.742475684925,-0.018714404478010094
2025-05-22,aggressive,11004.17789216591,0.0002213664323054143
2025-05-23,aggressive,10901.124816399888,-0.009364904564055365
2025-05-27,aggressive,11262.281956798852,0.03313026375550088
2025-05-28,aggressive,11190.919589856901,-0.006336403866968543
2025-05-29,aggressive,11237.797340111108,0.004188909577788058
2025-05-30,aggressive,11082.677865568743,-0.013803369988591663
2025-06-02,aggressive,11221.800414874506,0.012553152856493499
2025-06-03,aggressive,11417.010725260101,0.017395631999197247
2025-06-04,aggressive,11478.542660083418,0.0053894961040177325
2025-06-05,aggressive,11317.760978621414,-0.014007151101256166
2025-06-06,aggressive,11482.367310030297,0.014544072075723724
2025-06-09,aggressive,11652.523902292336,0.01481894697040409
2025-06-10,aggressive,11813.25155492458,0.01379337678085557
2025-06-11,aggressive,11799.449238459269,-0.0011683757347533685
2025-06-12,aggressive,11825.182389072437,0.0021808772674993815
2025-06-13,aggressive,11668.197860654256,-0.01327544246279444
2025-06-16,aggressive,12003.936426947004,0.02877381497145115
2025-06-17,aggressive,11884.20962431386,-0.009973961738449
2025-06-18,aggressive,11958.361907573462,0.006239563723942965
2025-06-20,aggressive,11894.755630850139,-0.005318979072128638
2025-06-23,aggressive,12069.374531167494,0.014680326837859914
2025-06-24,aggressive,12385.573190375231,0.02619842961962915
2025-06-25,aggressive,12425.36432099534,0.0032126999702388748
2025-06-26,aggressive,12583.118032103483,0.012696103472924491
2025-06-27,aggressive,12585.33775853217,0.00017640511859018382
2025-06-30,aggressive,12639.826965555825,0.004329578440333437
2025-07-01,aggressive,12486.927573360688,-0.012096636497619384
2025-07-02,aggressive,12736.869698600225,0.020016302951316733
2025-07-03,aggressive,12844.306724598406,0.008435120130811047
2025-07-07,aggressive,12645.386737916066,-0.015487016228083683
2025-07-08,aggressive,12735.842069240582,0.007153227750108515
2025-07-09,aggressive,12828.98044924699,0.0073130916275536695
2025-07-10,aggressive,12959.723252278902,0.010191207598230223
2025-07-11,aggressive,12914.535848056306,-0.003486756880757391
2025-07-14,aggressive,12898.166562205684,-0.0012675086463200813
2025-07-15,aggressive,12988.041239848486,0.006968019618086796
2025-07-16,aggressive,13081.939351573694,0.007229582197284756
2025-07-17,aggressive,13192.846559222688,0.008477887312300592
2025-07-18,aggressive,13204.409148458846,0.0008764286906737251
2025-07-21,aggressive,13219.79888755698,0.0011655000178429908
2025-07-22,aggressive,13050.366145610078,-0.012816589979018467
2025-07-23,aggressive,13101.605280345631,0.003926260318204866
2025-07-24,aggressive,13071.717329922307,-0.002281243388408405
2025-07-25,aggressive,13160.033373670629,0.006756269395923997
2025-07-28,aggressive,13333.203866876891,0.013158818696670238
2025-07-29,aggressive,13301.668222111453,-0.002365196323426799
2025-07-30,aggressive,13338.321426792414,0.002755534423872552
2025-07-31,aggressive,13136.997960385921,-0.015093613353933666
2025-08-01,aggressive,12867.871350100737,-0.020486157575476893
2025-08-04,aggressive,13154.012621916756,0.02223687694964238
2025-08-05,aggressive,13006.234137640024,-0.011234479434093725
2025-08-06,aggressive,13062.211638403014,0.004303897667118806
2025-08-07,aggressive,13183.923661540033,0.009317872539990502
2025-08-08,aggressive,13289.236294505756,0.007987958339969792
2025-08-11,aggressive,13274.489260502578,-0.001109697628694839
2025-08-12,aggressive,13556.597969093484,0.02125194446691836
2025-08-13,aggressive,13652.08918628155,0.00704389238404568
2025-08-14,aggressive,13605.091025405774,-0.003442561811198952
2025-08-15,aggressive,13408.132802930162,-0.014476802992925086
2025-08-18,aggressive,13432.562514432118,0.0018220069759913304
2025-08-19,aggressive,13133.394061329776,-0.022271882433520185
2025-08-20,aggressive,13053.483863963254,-0.0060845046599043995
2025-08-21,aggressive,12990.575306742088,-0.004819292525793606
2025-08-22,aggressive,13326.766884392258,0.025879652726056523
2025-08-25,aggressive,13290.713017123882,-0.0027053723968565313
2025-08-26,aggressive,13428.611131612666,0.010375524195813668
2025-08-27,aggressive,13449.014394178452,0.0015193874009615804
2025-08-28,aggressive,13541.4663034387,0.006874251640348161
2025-08-29,aggressive,13239.112716150641,-0.022327979888801197
2025-09-02,aggressive,13093.534858458077,-0.010996043376454545
2025-09-03,aggressive,13113.850422772519,0.0015515721716139463
2025-09-04,aggressive,13230.740889098144,0.00891351224523973
2025-09-05,aggressive,13345.497434372379,0.008673478396723278
2025-09-08,aggressive,13455.343248977037,0.008230926958311846
2025-09-09,aggressive,13490.647894982832,0.0026238383779975116
2025-09-10,aggressive,13829.945841492185,0.02515060426679261
2025-09-11,aggressive,13948.617491610035,0.008580774753420561
2025-09-12,aggressive,13990.846331847568,0.0030274570410244728
2025-09-15,aggressive,14182.002610834532,0.013662953223339436
2025-09-16,aggressive,14231.204355150017,0.003469308648829106
2025-09-17,aggressive,14170.319344029798,-0.0042782753729614376
2025-09-18,aggressive,14407.550533818712,0.01674141450375033
2025-09-19,aggressive,14469.935052427225,0.004329987839506666
2025-09-22,aggressive,14666.953224837069,0.013615691549133446
2025-09-23,aggressive,14546.662608604995,-0.008201472684072786
2025-09-24,aggressive,14465.381330770833,-0.005587623774684913
2025-09-25,aggressive,14282.978362449689,-0.012609620455226844
2025-09-26,aggressive,14352.363293714736,0.004857875542783274
2025-09-29,aggressive,14454.512432276731,0.007117234734904443
2025-09-30,aggressive,14547.999786094319,0.006467693341826619
2025-10-01,aggressive,14726.38853760211,0.012262080982315071
2025-10-02,aggressive,14887.744062128626,0.010956897145183442
2025-10-03,aggressive,14773.60871756995,-0.007666396203640624
2025-10-06,aggressive,15212.077935236757,0.029679222324694665
2025-10-07,aggressive,14982.637459947042,-0.015082783316422987
2025-10-08,aggressive,15378.293144225265,0.02640761250053103
2025-10-09,aggressive,15355.127038260473,-0.0015064159427531365
2025-10-10,aggressive,14534.282932021712,-0.05345733084418369
2025-10-13,aggressive,15088.61289595723,0.03813947798650785
2025-10-14,aggressive,14914.126766051739,-0.01156409347291576
2025-10-15,aggressive,15270.342856093432,0.02388447514423242
2025-10-16,aggressive,15212.423883607185,-0.003792905832702642
2025-10-17,aggressive,15193.219737743157,-0.0012623988136909459
2025-10-20,aggressive,15441.735774034154,0.016357035610669923
2025-10-21,aggressive,15349.68603280859,-0.005961100654263807
2025-10-22,aggressive,15080.598896765503,-0.017530465148794305
2025-10-23,aggressive,15399.237437518223,0.02112903757562723
2025-10-24,aggressive,15663.466101365235,0.017158555085543092
2025-10-27,aggressive,16022.876710365841,0.02294579032984778
2025-10-28,aggressive,16069.981093987746,0.002939820637291035
2025-10-29,aggressive,16241.520286600131,0.010674511165203793
2025-10-30,aggressive,15873.253303171728,-0.022674415752337973
2025-10-31,aggressive,15981.154386854047,0.0067976665918105805
2025-11-03,aggressive,16039.341581317258,0.003640988194887562
2025-11-04,aggressive,15515.151611413778,-0.032681514215899043
2025-11-05,aggressive,15807.69201128195,0.01885514284326839
2025-11-06,aggressive,15384.925685234768,-0.02674434229522271
2025-11-07,aggressive,15279.483443174067,-0.006853607499833103
2025-11-10,aggressive,15679.049932419186,0.026150523395057634
2025-11-11,aggressive,15460.165628064893,-0.013960304055267492
2025-11-12,aggressive,15560.711725899071,0.006503558904418005
2025-11-13,aggressive,15022.19863905467,-0.03460722724835952
2025-11-14,aggressive,14962.281151420293,-0.003988596414815304
2025-11-17,aggressive,14722.870661604107,-0.01600093511098477
2025-11-18,aggressive,14525.277319109184,-0.013420843464327148
2025-11-19,aggressive,14690.264897600668,0.011358652565925942
2025-11-20,aggressive,14165.165988704337,-0.03574468619569238
2025-11-21,aggressive,14246.266189671824,0.005725326553332133
2025-11-24,aggressive,14766.16776721918,0.03649388342359283
2025-11-25,aggressive,14817.926417159162,0.0035052188730297917
2025-11-26,aggressive,15066.78079100895,0.016794142907985865
2025-11-28,aggressive,15223.209863556958,0.010382381924701312
2025-12-01,aggressive,15127.562765862054,-0.0062829783305999864
2025-12-02,aggressive,15273.479364764118,0.00964574407394636
2025-12-03,aggressive,15507.667223646296,0.015332973796556848
2025-12-04,aggressive,15561.700423082675,0.003484289329731549
2025-12-05,aggressive,15667.176511605774,0.006777928224774632
2025-12-08,aggressive,15730.778459254714,0.004059566674430748
2025-12-09,aggressive,15771.489079818846,0.002587959691224384
2025-12-10,aggressive,15949.448210310515,0.011283597229851061
2025-12-11,aggressive,15861.366844535838,-0.005522533733658408
2025-12-12,aggressive,15351.307499403814,-0.03215733865380821
2025-12-15,aggressive,15298.643904465578,-0.003430560878301847
2025-12-16,aggressive,15348.421872028028,0.0032537503241003574
2025-12-17,aggressive,14907.675682346255,-0.028716059107354752
2025-12-18,aggressive,15195.583987300164,0.019312756132389808
2025-12-19,aggressive,15517.802639167472,0.02120475607496264
2025-12-22,aggressive,15695.01001059826,0.011419617554840666
2025-12-23,aggressive,15749.112825858956,0.003447134804257068
2025-12-24,aggressive,15786.999642949373,0.002405647702784286
2025-12-26,aggressive,15781.577031962233,-0.0003434858497359805
2025-12-29,aggressive,15627.113118430549,-0.009787609515756968
2025-12-30,aggressive,15571.267386946138,-0.003573643516955549
2025-12-31,aggressive,15406.33101642824,-0.0105923536228123
2026-01-02,aggressive,15690.73037137199,0.018459901623591346
2026-01-05,aggressive,15942.355911038221,0.016036572786014114
2026-01-06,aggressive,16205.686437181654,0.016517667000590874
2026-01-07,aggressive,16042.552259324773,-0.01006647749783629
2026-01-08,aggressive,15896.740913179363,-0.00908903669368799
2026-01-09,aggressive,16196.02073778096,0.018826489419191406
2026-01-12,aggressive,16288.667894001715,0.005720365373738545
2026-01-13,aggressive,16307.195972917581,0.0011374827601886572
2026-01-14,aggressive,16160.790262966328,-0.008977981879557895
2026-01-15,aggressive,16318.043413523026,0.00973053594520401
2026-01-16,aggressive,16401.982355546625,0.0051439342264549826
2026-01-20,aggressive,16006.100929484437,-0.024136193874657708
2026-01-21,aggressive,16326.173599102034,0.019996916864868597
2026-01-22,aggressive,16412.020122889364,0.0052582145636410615
2026-01-23,aggressive,16366.58740614037,-0.0027682586548641863
2026-01-26,aggressive,16386.34647013572,0.0012072806324876506
2026-01-27,aggressive,16619.774123708572,0.014245253144029135
2026-01-28,aggressive,16771.97878351803,0.009158046233151307
2026-01-29,aggressive,16809.547760660047,0.0022399847762113456
2026-01-30,aggressive,16277.263527437704,-0.03166558915214035
2026-02-02,aggressive,16374.925240236964,0.005999885216248835
2026-02-03,aggressive,16088.734125424984,-0.017477399781266945
2026-02-04,aggressive,15493.444593988148,-0.03700039585439485
2026-02-05,aggressive,15178.642442958237,-0.02031840944860397
2026-02-06,aggressive,15840.453772136761,0.04360148357573013
2026-02-09,aggressive,16082.664103578894,0.015290618244041765
2026-02-10,aggressive,16056.064321621157,-0.0016539412740590453
2026-02-11,aggressive,16241.931272521044,0.011576121468920508
2026-02-12,aggressive,15843.903088133586,-0.02450621035817724
2026-02-13,aggressive,15925.583604921489,0.005155327972756751
2026-02-17,aggressive,15921.15235414689,-0.00027824730851488955
2026-02-18,aggressive,16037.028490859408,0.0072781249833548944
2026-02-19,aggressive,15976.823907302012,-0.0037540984348634066
2026-02-20,aggressive,16094.67392171721,0.007376310529487506
2026-02-23,aggressive,15869.591572910878,-0.013984896488186682
2026-02-24,aggressive,16130.971254726723,0.016470473144502007
2026-02-25,aggressive,16372.945140951724,0.015000577609615373
2026-02-26,aggressive,16097.675813197011,-0.016812450379877886
2026-02-27,aggressive,15832.350721199233,-0.01648219873953871
2026-03-02,aggressive,15859.070861341223,0.0016876925361570816
2026-03-03,aggressive,15406.910451514745,-0.028511153886617957
2026-03-04,aggressive,15698.108497998415,0.018900482832042487
2026-03-05,aggressive,15537.088355924001,-0.010257295781523346
2026-03-06,aggressive,15064.592042506605,-0.030410866089800037
2026-03-09,aggressive,15461.386227775409,0.026339524107204415
2026-03-10,aggressive,15527.728902582463,0.004290862011316454
