date,portfolio,nav,dailyreturn
2025-05-05,conservative,9999.999999999998,
2025-05-06,conservative,9969.120655671148,-0.00308793443288502
2025-05-07,conservative,9984.4200723841,0.0015346806645628597
2025-05-08,conservative,9986.629855403804,0.0002213231217920164
2025-05-09,conservative,9987.978554487623,0.00013505047281681115
2025-05-12,conservative,10140.358735820028,0.015256358481460675
2025-05-13,conservative,10148.225595778358,0.0007757970071158304
2025-05-14,conservative,10137.334361009827,-0.0010732156735914211
2025-05-15,conservative,10167.216265825233,0.0029477083177149588
2025-05-16,conservative,10200.97390820637,0.0033202443518984825
2025-05-19,conservative,10213.119313739307,0.0011906123515488254
2025-05-20,conservative,10192.101385125097,-0.002057934306704423
2025-05-21,conservative,10101.452536845003,-0.008894029293349814
2025-05-22,conservative,10109.85005706814,0.0008313180894041761
2025-05-23,conservative,10096.875157938908,-0.0012833918461689908
2025-05-27,conservative,10208.806656569743,0.01108575642265186
2025-05-28,conservative,10181.939716044382,-0.0026317415373980912
2025-05-29,conservative,10215.110743052375,0.003257829837248316
2025-05-30,conservative,10223.945155098823,0.0008648376183739703
2025-06-02,conservative,10251.081667500835,0.002654211460482836
2025-06-03,conservative,10272.109288196492,0.002051258723488658
2025-06-04,conservative,10286.082803179332,0.0013603355056683863
2025-06-05,conservative,10257.153837295209,-0.0028124375855871353
2025-06-06,conservative,10296.382461368477,0.0038245135732128954
2025-06-09,conservative,10303.24634264791,0.0006666303728697365
2025-06-10,conservative,10336.819309511971,0.0032584843405223385
2025-06-11,conservative,10346.310452538266,0.000918187959187966
2025-06-12,conservative,10385.901933377989,0.0038266279579894924
2025-06-13,conservative,10320.695354329493,-0.006278374229486627
2025-06-16,conservative,10373.91667539012,0.005156757295263326
2025-06-17,conservative,10345.740105164374,-0.0027160976039637408
2025-06-18,conservative,10359.76755799154,0.0013558675053284563
2025-06-20,conservative,10358.249221951319,-0.0001465608211498326
2025-06-23,conservative,10401.7187447369,0.004196609084618164
