ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs
SPY,fintual,0.9999999999999998,0.18746960312170105,0.1882458376983028,0.16363441369025483,0.9059575816302234,498
IVV,fintual,0.9721468614475774,0.18762918431512318,0.18411672584107205,0.1593664137951834,0.9043105282289269,498
VOO,fintual,0.9647392905815009,0.1873604431120084,0.183018584292721,0.15822300045762172,0.9039051457694164,498
ESGU,fintual,0.9942477653701163,0.18217110874751058,0.18739309285695854,0.16316906285089489,0.9033151890542355,498
VTI,fintual,1.0038570975802794,0.18383662171338078,0.18881763636017546,0.16490794447199209,0.9024285448264173,498
ITOT,fintual,0.9937700591794882,0.18366486432559184,0.1873222749025552,0.1634840022549668,0.9011418418347378,498
ESGV,fintual,1.0407326327110604,0.19058477056860873,0.19428428095621128,0.17162582490234243,0.8989572580000781,498
DSI,fintual,1.0223586844502284,0.17618791336159906,0.19156041960445896,0.17047610915733763,0.8890419915941371,498
ACWI,fintual,0.8914227751523258,0.1598608580484221,0.1721497160458024,0.15005535019552532,0.8806731374363426,498
VT,fintual,0.881430459674096,0.15623807077688195,0.1706683968671865,0.14934987214132678,0.8749146885344341,498
VUG,fintual,1.2159327262581927,0.24557393794583193,0.2202569655889269,0.2077382827341111,0.8677118305615429,498
QQQ,fintual,1.2349868217413993,0.23747873316371107,0.22308165593541832,0.21223657215564795,0.8626301022292788,498
QQQM,fintual,1.2244561972191343,0.23778734749720018,0.22152053468162888,0.21059157351723662,0.8619553558099592,498
VGT,fintual,1.401746801022404,0.23142890127197752,0.24780312875848248,0.24764503412040162,0.8391168815339598,498
FTEC,fintual,1.4107932535138976,0.23475758210048864,0.24914422768628186,0.24942775579586773,0.8384962091285703,498
XLK,fintual,1.3895658014896144,0.22024299671972833,0.24599734627874145,0.24803345291105172,0.830522430990851,498
ETHO,fintual,1.0005453206823436,0.07254460525408928,0.18832667921967106,0.18735211242471933,0.791700063052509,498
XLI,fintual,0.874992385257355,0.1842552507303533,0.16971397913211272,0.16614109845561378,0.7807458861045575,498
VTV,fintual,0.6797195601076963,0.1337455430669706,0.14076559558808735,0.1307608569243645,0.7706097830666007,498
KOMP,fintual,1.1974605919200616,0.12067211371462516,0.21751854855989508,0.23128464525838624,0.7675327878406072,498
XSD,fintual,1.9805968295405392,0.14497709954849092,0.3336152361378399,0.38927976025573857,0.7542525096731164,498
SOXX,fintual,1.8694251395283936,0.23350012356567035,0.31713449582365333,0.36880539926709816,0.7514382825587257,498
SOXQ,fintual,1.9017367449589309,0.2682220174656483,0.32192455683808036,0.3760589902919033,0.7496817364191873,498
SMH,fintual,1.8245073787857422,0.3552259871928373,0.31047562475482704,0.3651602195886374,0.7407039711486781,498
CLOU,fintual,1.2617742918148664,0.16742736476591244,0.2270527868762777,0.25504595029191146,0.7334081825733262,498
IWM,fintual,1.0684993216239747,0.10830387680776228,0.19840057701421443,0.220003742633165,0.7199903743380043,498
XLF,fintual,0.8069468826361661,0.2483132988782629,0.1596265165944325,0.16771674665205205,0.713265186586356,498
